identifier,historical_finding
AMBIGUITY-PLATFORM-ACCEPTANCE-001,"`Resolved; independent review passed`. Exact Reference Hardware Profiles bind role/mode hardware, OS build/configuration, drivers, devices, runtime and tolerances; full execution is required, audio equivalence is measurable, and platform exceptions compare a finite alternative set before owner approval."
AMBIGUITY-PROJECT-NFR-BOUNDARY-001,`Resolved; independent review passed`. The two-person maintainability target is removed from the normative functional baseline and retained only as a non-normative input to the separate NFR process.
AMBIGUITY-DOCUMENT-POPULATION-001,"`Resolved; independent review passed`. A closed approved Documentation Inventory defines the persistent/generated Markdown population, one canonical information owner, metadata and stable mappings, quotation-versus-duplication boundary, exact H2 ToC rule, versioning and impact analysis."
AMBIGUITY-NON-GOAL-SESSION-SAVE-001,"`Resolved; independent review passed`. The non-goal excludes durable live-state checkpoints and persisted-state resumption. Durable audit, assessment, reconstruction and terminal evidence are retained records, not resumable Training Session state."
AMBIGUITY-NON-GOAL-ENVIRONMENT-THROW-001,`Resolved; independent review passed`. Deliberate environment-object Throw is disabled in every row; ordinary release/drop adds no commanded impulse and retains only velocity produced within admitted manipulation bounds or by external forces.
AMBIGUITY-AUTH-ATTEMPT-OPERATION-DOMAIN-001,"`Resolved; independent re-review passed`. Admission and audit-recovery AUTH Attempt classes and their nested operations have closed identities, lifecycle, supersession, cancellation, audit and effect rules in an approved inventory."
AMBIGUITY-AUTH-IDENTITY-EQUALITY-001,"`Resolved; independent re-review passed`. Every successful validation emits one Canonical Identity Key under catalogue-defined normalization and all equality, binding and uniqueness decisions use it."
AMBIGUITY-AUTH-PACKAGE-ADMISSION-001,"`Resolved; independent re-review passed`. Candidate packages have exhaustive component, role, dependency, requirement and retained-history reconciliation, exact approval, atomic activation and retained version history."
AMBIGUITY-AUTH-AUTHORIZATION-RULE-APPLICABILITY-001,`Resolved; independent re-review passed`. Rule-set rows now declare client or authority validator applicability while the Session Authority remains sole final Admission decision authority.
AMBIGUITY-AUTH-AUDIT-ATOMIC-COMMIT-001,"`Resolved; independent re-review passed`. One atomic Audit Commit Unit contains the settled final record and required integrity references before any granting AUTH effect; incomplete commits have explicit fail-closed, cleanup and recovery treatment."
AMBIGUITY-AUTH-AUDIT-RETENTION-INTEGRITY-001,`Resolved; independent re-review passed`. The approved integrity profile distinguishes authorized expiry and rollover from unauthorized mutation and preserves verifiable boundaries.
AMBIGUITY-AUTH-AUDIT-DEPENDENCY-RETENTION-001,`Resolved; independent re-review passed`. Every non-secret dependency needed to interpret retained records or validate checkpoints remains versioned and available through its governed expiry.
AMBIGUITY-AUTH-DENIAL-PRECEDENCE-001,"`Resolved; independent re-review passed`. An ordered exhaustive mapping assigns every terminal outcome exactly one generic category or the closed `No Denial Disclosure` disposition, including audit unavailability and unavailable response channels."
AMBIGUITY-AUTH-TRANSIENT-CLEANUP-TIMING-001,"`Resolved; independent re-review passed`. Success, failure, cancellation and audit-commit failure now have separate exact cleanup gates and a closed retained-field population."
AMBIGUITY-AUTH-AUDIT-MECHANISM-001,"`Resolved; independent re-review passed`. Audit grouping, checkpoint granularity, continuity and integrity mechanisms move into an approved outcome profile; requirements state detection and evidence outcomes rather than a storage or cryptographic design."
AMBIGUITY-AUTH-AUDIT-RETENTION-BOUNDARY-001,"`Resolved; independent re-review passed`. Retention is strictly positive and policy rows define logical and physical expiry, restart, unavailable-time, uncertainty and catch-up behavior without early or indefinite silent disposition."
AMBIGUITY-AUTH-AUDIT-LIFECYCLE-COVERAGE-001,`Resolved; independent re-review passed`. The closed operation inventory classifies every Admission lifecycle transition as Audited or explicitly Not Audited with approved rationale.
AMBIGUITY-AUTH-REVOCATION-STATUS-PRECEDENCE-001,"`Resolved; independent re-review passed`. Exactly one temporally applicable status is permitted per bound item; missing, overlapping or conflicting statuses reject the item."
AMBIGUITY-AUTH-PACKAGE-TRUST-BOOTSTRAP-001,"`Resolved; independent re-review passed`. Each host receives an independently provisioned, baseline-bound Package Trust Reference and cannot use package contents to validate their own trust root."
AMBIGUITY-AUTH-DATA-MINIMIZATION-SCOPE-001,"`Resolved; independent re-review passed`. External evidence fields remain catalogue-limited while a closed AUTH Data Inventory governs every externally provisioned package payload and internal field by purpose, role applicability, source or producer, consumer and lifetime."
AMBIGUITY-AUTH-AUDIT-SCHEMA-APPLICABILITY-001,"`Resolved; independent re-review passed`. A per-record-class schema assigns every candidate field Required Current Input, Required Retained Reference, or Not Applicable without triggering forbidden revalidation."
AMBIGUITY-AUTH-AUDIT-SEQUENCE-ROLLOVER-001,"`Resolved; independent re-review passed`. Each host has one current append target and a closed ordered chain of retained epochs with explicit rollover, discontinuity, expiry and checkpoint boundaries."
AMBIGUITY-AUTH-PACKAGE-ROLE-CONTENT-001,`Resolved; independent re-review passed`. One release contains exact role-specific manifests sharing all governing artifact versions while each retains only its role-applicable inputs and fields.
AMBIGUITY-AUTH-DENIAL-TERMINAL-DOMAIN-001,"`Resolved; independent re-review passed`. Every Admission, lifecycle and audit-recovery terminal AUTH Attempt and refusal receives exactly one disclosure disposition; success, requester cancellation without an independent failure and non-client lifecycle outcomes produce `No Denial Disclosure` unless a higher-precedence audit condition applies."
AMBIGUITY-AUTH-AUDIT-FAILURE-EFFECT-001,"`Resolved; independent re-review passed`. Audit-commit failure blocks granting effects while still requiring terminal failure or cancellation, invalidation, cleanup, generic denial when deliverable, and profile-governed incomplete-commit recovery metadata."
AMBIGUITY-AUTH-PACKAGE-ROLE-RETENTION-001,"`Resolved; independent re-review passed`. Each host receives and retains only its role manifest plus explicitly shared non-sensitive artifacts, and the AUTH Data Inventory governs externally provisioned payloads by host role and finite lifetime."
AMBIGUITY-AUTH-ATTEMPT-INSTANCE-IDENTITY-001,"`Resolved; independent re-review passed`. Inventory class keys are distinct from unique runtime attempt and operation instance identifiers, and every challenge, proof, decision, effect and retained audit reference binds both without unsafe identifier reuse."
AMBIGUITY-AUTH-OPERATION-AUDIT-CLASSIFICATION-001,"`Resolved; independent re-review passed`. Every operation-inventory row has an audit classification, while only an `Audited` row identifies a record class and producer and a `Not Audited` row produces no record."
AMBIGUITY-AUTH-TRANSIENT-CLEANUP-001,"`Resolved; independent re-review passed`. Successful initial Admission, lifecycle and audit-recovery attempts plus failed, cancelled and failed-audit-commit outcomes each have one exact inventory-assigned cleanup boundary, including explicit no-transient-data rows."
AMBIGUITY-AUTH-ADMISSION-KEY-001,`Resolved; independent re-review passed`. Each Admission receives an identifier unique within its Session Authority Identity domain that cannot be reused while any bound live or retained artifact exists.
AMBIGUITY-AUTH-CHALLENGE-TERMINAL-SCOPE-001,"`Resolved; independent re-review passed`. A challenge becomes invalid at the terminal event of its exact owning AUTH Operation, with enclosing-attempt cancellation and supersession propagated separately."
AMBIGUITY-AUTH-PACKAGE-HISTORY-RETENTION-001,`Resolved; independent re-review passed`. Package approval and activation history is project verification evidence rather than a runtime AUTH field; runtime package and catalogue dependencies retain exact event-bounded lifetimes through their last Admission and audit dependencies.
AMBIGUITY-AUTH-DENIAL-DETAIL-LEAKAGE-001,"`Resolved; independent re-review passed`. A client receives only the applicable generic terminal denial over a protected response channel and no identity, authorization, revocation, audit, or internal failure detail that could act as a status oracle."
AMBIGUITY-AUTH-DENIAL-UNDELIVERABLE-001,"`Resolved; independent re-review passed`. A terminal outcome with no remaining protected response channel has `No Denial Disclosure`, retains its local audit disposition, and never queues a reason-bearing response into another attempt."
