retired_identifier,source,replacement,reason,previous_statement
PROCESS-TRACEABILITY-INVENTORY-003,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**PROCESS-TRACEABILITY-INVENTORY-003** — Every registered artifact MUST have complete stable-identifier traces or an explicit non-applicability or intentional-deferral record; a missing artifact, missing trace, stale inventory entry, or unclassified artifact MUST block baseline approval."
PROCESS-SOFTWARE-DESIGN-BASELINE-001,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**PROCESS-SOFTWARE-DESIGN-BASELINE-001** — Each Software Design Baseline MUST identify one exact versioned package containing its control document and Design Commitment register, and that register MUST bind every included Software Design Document to its exact version."
PROCESS-SOFTWARE-DESIGN-TRACE-001,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**PROCESS-SOFTWARE-DESIGN-TRACE-001** — Every Design Commitment MUST trace to exact governing requirement identifiers, Architecture Claims, Software Architecture Description views, its Software Design Document, responsible owner, and planned verification approach; a missing requirement MUST remain a visible gap resolved at the canonical requirement source rather than becoming an untraced derived requirement."
PROCESS-SOFTWARE-DESIGN-APPROVAL-001,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**PROCESS-SOFTWARE-DESIGN-APPROVAL-001** — A Software Design Document MUST NOT be approved while an included internal design decision is open, an interface omits ownership, lifetime, ordering, blocking or failure semantics, a normative statement lacks objective verification, or two independent reviewers can derive materially different behavior from the same commitment; external realization and evidence blockers MAY remain explicit without implying implementation or verification."
PROCESS-ARCHITECTURE-DESCRIPTION-001,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**PROCESS-ARCHITECTURE-DESCRIPTION-001** — The Software Architecture Description MUST identify every view's purpose, scope, notation, stakeholders, prerequisites, authoritative inputs, Architecture Claim mappings, relationships to other views, owner, and update triggers while linking rather than duplicating canonical requirements and ADR content."
PROCESS-ARCHITECTURE-UPDATE-001,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**PROCESS-ARCHITECTURE-UPDATE-001** — A change to a governing requirement, ADR, Architecture Claim, module interface, inventory disposition, or evidence dependency MUST trigger review of every reachable Software Architecture Description view and retained architecture-verification result under `PROCESS-EVIDENCE-CHANGE-001` through `PROCESS-EVIDENCE-CHANGE-006`."
PROCESS-DOCUMENTATION-INVENTORY-001,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**PROCESS-DOCUMENTATION-INVENTORY-001** — A versioned Documentation Inventory MUST enumerate every retained project document from the complete authoritative document repositories and classify it as `Persistent` or `Non-persistent`, Markdown or another format, generated or manually maintained, and canonical or non-canonical for each mapped information item."
PROCESS-DOCUMENTATION-INVENTORY-002,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**PROCESS-DOCUMENTATION-INVENTORY-002** — The project owner MUST approve the exact reconciled Documentation Inventory version; a missing, stale, uncertain, multiply owned, or unclassified persistent document or canonical information item MUST block documentation acceptance."
PROCESS-DOCUMENTATION-INVENTORY-003,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**PROCESS-DOCUMENTATION-INVENTORY-003** — The Documentation Inventory MUST assign every persistent document one control tier: `Controlled` for normative or canonical project information, `Routed` for operational navigation and agent instructions, `Reference` for non-canonical research, or `Generated` for reproducible views. Controlled Markdown MUST embed title, purpose, scope, intended readers, status, prerequisites, and exactly one canonical information owner. The inventory MAY hold fields for other tiers and formats when their compact form remains unambiguous. Every persistent document MUST map each normative information item to one canonical stable identifier and owning document."
PROCESS-DOCUMENTATION-INVENTORY-004,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.",**PROCESS-DOCUMENTATION-INVENTORY-004** — A non-canonical document MAY quote canonical information only when the quotation is explicitly marked non-authoritative and links to the exact canonical stable identifier and document version; an unmarked restatement that can independently change normative meaning is prohibited duplication.
PROCESS-DOCUMENTATION-INVENTORY-005,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**PROCESS-DOCUMENTATION-INVENTORY-005** — For every generated Markdown document, each second-level heading other than `Table of contents` is a principal section and MUST have exactly one working Table-of-Contents link; headings below second level MAY be included but are not required by this rule."
PROCESS-DOCUMENTATION-INVENTORY-006,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**PROCESS-DOCUMENTATION-INVENTORY-006** — Adding, removing, renaming, reclassifying, or changing ownership of a document or canonical information item MUST create a new Documentation Inventory version and trigger documentation and evidence-impact analysis."
CONSTRAINT-DOCUMENTATION-TOC-001,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.",**CONSTRAINT-DOCUMENTATION-TOC-001** — Every generated Markdown document MUST contain a Table of Contents with links to its principal sections.
CONSTRAINT-DOCUMENT-CONTROL-001,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**CONSTRAINT-DOCUMENT-CONTROL-001** — Each document MUST expose its purpose, scope, intended readers, status, and prerequisites either in the document or in its exact Documentation Inventory row according to its control tier."
PROCESS-AUTONOMOUS-VERIFICATION-001,docs/requirements/training-simulation-autonomous-participant-requirements.md,VERIFY-CONTEXT-001,ADR-0014 removes output pre-registration and global inventory approval; future product scope and acceptance criteria are unchanged.,"**PROCESS-AUTONOMOUS-VERIFICATION-001** — Every requirement in this baseline MUST receive stable obligation keys, Required verification methods, pre-registered evidence records and dependencies, exact input and environment identities, attributable results, and project-owner approval under the Verification Plan and current Evidence Dependency Inventory."
PROCESS-AUTONOMOUS-CHANGE-001,docs/requirements/training-simulation-autonomous-participant-requirements.md,VERIFY-CHANGE-001,ADR-0014 removes output pre-registration and global inventory approval; future product scope and acceptance criteria are unchanged.,"**PROCESS-AUTONOMOUS-CHANGE-001** — A change to an Autonomous Participant definition, identifier, identity or permission rule, Admission binding, controller input or output, Scenario applicability, perception mapping, workload, profile, assignment range, dependency, or acceptance criterion MUST create the applicable governed successor and trigger conservative evidence-impact analysis under the current approved Evidence Dependency Inventory."
